Employee ID,Age,Department,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRotation,FeedbackFromManager,Mentoring,Autonomy,JobRole,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,RelationshipSatisfaction,Tools,TotalWorkingYears,Training,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Performance
928,40,Finance,4,4,1,Male,2,2,1,L,Y,Y,Accountant,8059,9,Yes,16,1,H,9,Y,3,2,6,3,6,67
975,50,Sales,2,3,3,Female,3,3,1,H,Y,Y,Sales Executive,9208,4,No,11,4,L,16,Y,3,2,2,2,1,56
983,49,Research & Development,22,4,1,Female,3,4,1,L,N,Y,Research Director,16413,1,No,16,2,L,27,N,3,4,2,1,2,37
1089,35,Sales,25,2,4,Male,3,2,4,H,Y,Y,Sales Executive,4968,2,No,11,4,L,5,Y,3,5,2,0,2,69
1094,56,Research & Development,15,4,4,Female,3,5,2,H,Y,Y,Manager,19943,1,No,13,4,L,28,Y,3,5,2,4,2,61
1110,40,Sales,13,4,3,Female,3,5,2,H,N,Y,Manager,18041,0,No,14,4,L,21,Y,3,20,15,1,12,57
1183,44,Finance,17,3,1,Male,3,2,1,L,Y,Y,Accountant,9721,2,Yes,17,2,L,10,N,1,2,4,3,3,55
1210,33,Finance,23,4,1,Male,3,2,1,L,N,Y,Accountant,8471,2,No,16,1,H,7,N,1,5,6,3,7,50
1250,43,Production,19,4,3,Female,3,1,2,H,N,Y,Machinists,2455,0,No,19,1,L,9,Y,3,8,7,1,7,53
1276,42,Research & Development,2,2,4,Male,2,5,4,L,Y,Y,Manager,19613,6,No,22,4,H,24,Y,3,1,0,0,1,79
1327,43,IT_Support,14,4,2,Female,4,1,4,L,N,Y,IT specialists,8574,1,No,15,1,H,6,N,2,4,7,2,7,34
1348,32,Production,17,1,4,Male,2,2,2,H,N,Y,Machinists,2176,4,No,13,4,L,9,Y,3,6,2,0,4,57
1367,27,Sales,12,2,1,Female,4,2,4,L,Y,N,Sales Executive,6500,4,No,14,2,H,9,Y,2,8,7,0,7,63
1415,33,Sales,16,4,3,Male,3,2,1,H,N,Y,Sales Executive,7104,9,No,12,4,L,6,Y,3,5,0,1,2,58
1522,26,Sales,10,3,3,Female,2,2,2,H,Y,Y,Sales Executive,4157,7,Yes,19,3,L,5,N,2,2,2,0,0,54
1555,25,Sales,14,2,2,Female,2,2,2,H,N,Y,Sales Executive,4487,1,Yes,11,2,L,5,Y,3,5,4,1,3,53
1561,35,Research & Development,9,4,3,Female,1,1,2,L,Y,Y,Research and Design Specialists,2977,4,No,12,4,L,4,Y,3,4,3,1,1,57
1610,41,Sales,17,3,3,Female,3,2,4,L,Y,Y,Sales Executive,4393,7,No,21,3,L,14,Y,3,5,4,1,4,64
1612,28,Production,8,3,3,Female,1,2,1,L,Y,Y,Machinists,6674,7,No,11,1,H,10,N,3,9,8,7,5,47
1726,34,Sales,2,2,3,Female,3,2,1,H,N,Y,Sales Executive,6125,6,No,12,4,L,10,Y,4,10,8,9,6,55
1749,42,Research & Development,20,1,2,Male,3,1,2,H,N,N,Research and Design Specialists,2515,4,Yes,14,4,L,8,N,3,2,1,2,2,46
1822,22,Research & Development,16,1,2,Female,3,2,1,H,N,N,Manufacturing Director,4171,6,Yes,19,1,L,4,N,4,3,2,0,2,26
1908,26,Production,17,3,1,Male,3,1,2,L,N,N,Machinists,2377,1,No,20,3,L,1,N,2,1,1,0,0,24
2005,41,Research & Development,6,2,1,Male,2,1,2,L,N,N,Research and Design Specialists,2107,1,No,17,1,L,5,N,1,1,0,0,0,44
2066,34,Research & Development,23,4,1,Female,3,3,2,H,N,N,Research Director,11994,0,No,11,3,H,13,Y,3,12,6,2,11,70
2096,35,Research & Development,13,4,4,Male,3,2,1,L,N,Y,Manufacturing Director,6883,7,No,16,2,L,17,N,3,7,7,0,7,26
2111,28,Finance,11,4,2,Male,2,3,1,L,Y,N,Accountant,8292,2,No,19,1,L,10,Y,1,4,4,1,7,83
2121,30,Research & Development,7,3,4,Female,3,1,2,L,Y,N,Research and Design Specialists,3204,5,No,14,4,L,8,N,3,3,2,2,2,46
2254,55,Production,11,2,2,Male,3,2,2,L,N,N,Machinists,5415,3,Yes,19,4,L,12,N,3,10,7,0,8,42
2283,37,Production,14,3,1,Female,3,1,4,H,N,Y,Machinists,3629,5,No,18,1,H,8,Y,3,3,2,0,2,63
2347,25,Finance,10,3,4,Female,2,2,1,L,N,N,Research and Design Specialists,5959,8,No,19,2,L,9,N,1,9,6,2,5,65
2383,43,Research & Development,14,3,1,Male,2,4,1,H,N,Y,Research Director,14336,1,No,11,3,L,25,Y,3,25,10,3,9,51
2425,44,Finance,20,3,2,Male,3,3,1,L,Y,Y,Accountant,9077,4,Yes,16,3,H,9,Y,1,6,4,2,2,79
2454,47,Finance,9,3,1,Male,2,2,3,L,Y,Y,Accountant,9839,2,Yes,20,1,H,7,Y,3,5,3,1,4,66
2721,27,Research & Development,19,3,4,Female,2,2,2,H,N,Y,Customercare Representative,6811,6,No,19,1,H,9,Y,1,7,6,0,7,72
3034,27,Production,15,4,3,Female,3,1,2,L,Y,Y,Machinists,2811,7,No,14,2,L,4,Y,3,2,2,2,2,60
3066,35,Research & Development,8,2,3,Male,2,3,3,H,N,Y,Customercare Representative,9884,2,Yes,13,3,H,10,Y,3,4,0,2,3,69
3076,35,Research & Development,18,4,3,Male,2,2,2,H,N,Y,Customercare Representative,6540,9,No,19,3,H,10,Y,3,1,1,0,0,70
3105,56,Research & Development,14,3,4,Male,3,4,2,H,Y,Y,Manufacturing Director,13402,3,Yes,12,1,H,33,N,3,19,16,15,9,33
3203,27,Research & Development,19,4,1,Male,2,1,2,H,N,Y,Research and Design Specialists,2045,6,No,13,4,L,5,Y,3,4,2,1,1,60
3316,34,Research & Development,24,1,2,Male,3,1,1,L,Y,N,Research and Design Specialists,2960,2,No,11,3,L,8,N,3,4,2,1,3,31
3339,34,Research & Development,20,2,2,Male,2,1,4,H,N,Y,Research and Design Specialists,3622,2,Yes,13,4,H,6,Y,3,6,5,1,3,63
3435,36,Finance,5,4,1,Male,3,3,1,L,Y,Y,Accountant,8424,7,No,18,2,L,5,N,1,4,2,1,6,73
3455,44,Human Resources,15,4,1,Female,2,2,1,H,N,Y,Human Resources,5985,7,No,11,2,L,10,Y,4,2,2,0,2,56
3485,47,Finance,2,3,2,Female,3,3,2,H,Y,Y,Accountant,9641,9,No,17,2,H,5,Y,1,2,3,3,2,71
3530,53,Research & Development,21,4,2,Male,4,3,1,L,Y,Y,Customercare Representative,7005,4,No,15,3,L,11,N,3,4,3,1,2,29
3570,41,Research & Development,24,1,2,Female,1,5,1,H,N,Y,Research Director,19973,3,No,22,2,L,21,N,3,21,16,5,10,47
3635,50,Sales,20,4,4,Female,3,5,2,L,N,Y,Manager,19517,3,No,11,3,L,32,N,2,7,0,0,6,45
3718,40,Research & Development,5,4,4,Male,3,1,2,L,Y,Y,Research and Design Specialists,3617,8,Yes,14,4,L,3,Y,3,1,1,0,0,61
3720,23,Research & Development,12,3,4,Male,4,1,3,L,N,Y,Research and Design Specialists,2073,8,No,16,4,H,4,Y,3,2,2,2,2,76
3864,28,Human Resources,4,2,2,Male,2,1,3,L,Y,Y,Human Resources,4936,7,No,13,4,H,6,Y,3,5,1,0,4,76
3886,27,Production,19,1,2,Male,3,1,4,H,N,Y,Machinists,2099,8,No,14,2,H,6,Y,4,5,0,1,4,65
3901,27,Sales,1,3,4,Male,3,3,2,L,Y,Y,Sales Executive,8726,1,No,15,4,L,9,N,3,9,8,1,7,45
3964,35,Sales,9,5,2,Male,3,3,2,H,N,Y,Sales Executive,9069,1,No,22,4,L,9,Y,2,9,8,1,8,58
3987,29,Human Resources,2,3,1,Male,2,1,2,L,N,N,Human Resources,2335,1,Yes,15,4,L,4,N,3,2,2,2,0,24
3990,46,Research & Development,17,4,4,Female,2,2,2,H,N,N,Research and Design Specialists,4615,5,Yes,23,1,L,19,N,3,16,13,1,7,44
3994,41,Research & Development,11,3,4,Male,2,2,2,L,N,Y,Manufacturing Director,6032,6,Yes,15,4,L,8,N,3,5,4,1,2,44
4019,36,Research & Development,12,2,2,Male,3,2,2,H,N,Y,Manufacturing Director,4941,6,No,20,4,H,7,Y,3,3,2,0,1,70
4208,31,Sales,9,3,3,Male,4,1,2,L,N,N,Sales Representative,2791,1,No,12,1,L,3,N,3,2,2,2,2,49
4313,50,Sales,14,3,3,Male,3,5,3,L,N,Y,Manager,19331,5,Yes,16,3,H,27,Y,3,1,0,0,0,71
4417,46,Research & Development,22,3,3,Male,2,3,2,H,N,Y,Customercare Representative,10673,2,Yes,13,3,L,21,Y,2,10,9,9,5,60
4508,51,Finance,16,4,2,Male,2,2,2,L,Y,Y,Accountant,9223,2,Yes,17,3,L,7,N,1,4,6,1,5,79
4529,24,Production,8,3,4,Male,3,1,1,L,N,N,Machinists,3597,7,No,22,4,L,6,N,3,4,3,1,2,47
4559,49,Production,6,3,4,Female,3,1,2,L,N,N,Machinists,2587,9,Yes,16,2,L,17,N,2,2,2,2,2,46
4701,27,Production,11,3,4,Male,2,1,2,L,N,N,Machinists,4066,7,No,11,1,L,7,N,3,7,7,0,7,44
4730,34,Sales,17,1,4,Female,2,2,1,L,Y,Y,Sales Executive,8103,5,Yes,12,3,L,9,Y,2,4,2,0,1,56
4762,24,Research & Development,18,2,2,Male,2,2,3,L,Y,Y,Customercare Representative,4617,8,No,12,2,L,4,Y,2,4,3,1,2,71
5010,45,Research & Development,4,2,1,Male,3,1,2,L,N,N,Research and Design Specialists,2654,3,No,21,4,L,8,N,2,2,2,0,2,48
5133,36,Production,14,4,2,Female,3,2,4,H,N,Y,Machinists,5674,7,No,15,3,H,11,Y,3,9,8,0,8,64
5139,51,Research & Development,15,4,1,Male,3,1,1,H,N,N,Research and Design Specialists,2461,7,Yes,12,3,L,18,N,4,10,0,2,7,37
5232,36,Production,17,4,1,Male,4,1,1,L,Y,Y,Machinists,2810,7,No,22,2,L,5,Y,3,5,4,0,2,58
5238,39,IT_Support,13,4,2,Male,3,2,4,L,N,N,IT specialists,5717,7,Yes,15,4,H,5,N,2,2,3,1,4,27
5254,26,Research & Development,15,3,1,Female,3,1,2,H,N,Y,Research and Design Specialists,2886,1,No,22,2,L,3,Y,1,3,2,0,2,54
5294,29,Sales,24,3,2,Female,1,1,1,L,Y,N,Sales Representative,2760,5,No,13,3,L,2,N,3,2,2,2,2,37
5296,33,Production,10,1,1,Male,1,1,2,L,N,N,Machinists,3408,7,No,13,1,L,8,N,3,4,3,1,3,30
5320,41,Human Resources,11,3,3,Male,1,2,2,L,Y,Y,Human Resources,6430,7,No,19,2,L,10,N,3,3,2,1,2,43
5387,24,Production,2,2,4,Female,3,1,1,L,N,N,Machinists,2210,5,No,13,1,L,1,N,1,1,0,0,0,31
5453,49,Research & Development,14,2,1,Male,2,5,2,L,Y,Y,Manager,18711,6,No,13,3,L,23,Y,4,1,0,0,0,66
5574,28,Production,8,3,1,Male,2,1,2,L,N,N,Machinists,2596,1,No,15,1,L,1,N,3,1,0,0,0,45
5576,52,Research & Development,16,2,4,Male,3,4,2,H,Y,Y,Manager,17099,7,No,15,2,H,26,Y,2,9,8,7,8,77
5621,23,Production,2,2,4,Male,3,1,2,L,Y,N,Machinists,2647,9,No,13,3,L,5,Y,4,5,2,1,4,62
5649,53,Research & Development,13,3,4,Male,4,4,2,L,Y,Y,Research Director,16598,3,No,12,2,H,35,Y,2,9,8,8,8,62
5677,20,Research & Development,12,3,4,Female,2,1,2,H,N,Y,Research and Design Specialists,2836,6,No,13,4,L,1,Y,4,1,0,0,0,70
5794,27,Production,19,4,4,Female,3,1,2,L,N,N,Machinists,2341,1,No,13,4,L,1,N,3,1,0,0,0,48
5885,40,Research & Development,14,2,4,Male,3,2,4,H,Y,Y,Customercare Representative,4069,7,Yes,18,3,H,8,Y,3,2,2,2,2,64
6100,45,Finance,4,3,2,Male,2,2,4,L,N,Y,Accountant,9537,8,No,19,4,L,8,N,,,,,,32
6150,52,IT_Support,8,4,1,Female,4,2,1,H,Y,Y,IT specialists,6407,9,Yes,15,3,L,7,Y,2,4,6,2,3,62
6158,41,IT_Support,24,4,1,Male,2,5,4,H,Y,Y,IT specialists,5514,2,Yes,17,1,H,10,Y,1,7,7,2,5,52
6239,46,Sales,23,4,4,Male,4,4,2,L,Y,Y,Manager,17567,3,No,15,2,H,27,Y,1,26,0,0,12,70
6352,30,Sales,7,1,3,Male,3,1,2,H,N,Y,Sales Representative,2476,1,No,18,1,L,1,Y,3,1,0,0,0,59
6358,37,Finance,4,3,1,Female,3,3,2,L,Y,Y,Accountant,9202,9,No,20,1,L,10,Y,1,4,7,3,2,63
6366,43,Research & Development,6,3,2,Female,4,1,2,H,N,Y,Research and Design Specialists,4739,4,No,12,4,L,18,Y,3,3,2,1,2,53
6452,27,Research & Development,19,3,4,Male,3,1,4,H,Y,Y,Research and Design Specialists,1706,2,No,11,3,H,0,Y,2,0,0,0,0,79
6474,26,Research & Development,14,2,3,Male,3,1,2,L,Y,Y,Research and Design Specialists,2875,1,Yes,20,2,L,8,Y,2,8,5,2,2,61
6572,27,Research & Development,8,4,4,Female,3,1,1,H,Y,N,Research and Design Specialists,2394,8,Yes,13,4,L,8,N,3,8,2,7,7,27
6596,24,Production,9,3,3,Male,2,1,2,H,Y,Y,Machinists,2694,5,No,11,3,L,1,Y,3,1,0,0,0,54
6621,33,Finance,1,3,2,Male,2,2,2,L,Y,Y,Accountant,9800,6,No,18,1,L,5,Y,3,10,7,3,7,64
6736,32,Research & Development,11,4,2,Male,3,1,3,L,N,Y,Research and Design Specialists,2718,9,No,14,2,L,12,Y,3,7,7,0,7,76
6837,26,Research & Development,22,3,3,Female,3,2,2,H,N,Y,Manufacturing Director,6397,1,No,20,1,H,6,Y,1,6,5,1,4,77
6878,39,Research & Development,11,1,1,Male,3,2,2,L,N,N,Research and Design Specialists,4108,1,No,13,1,L,18,Y,3,7,7,1,7,50
6891,34,Sales,20,3,1,Male,3,3,2,L,Y,Y,Sales Executive,9888,2,No,21,1,L,14,Y,2,14,8,2,1,57
6907,36,Research & Development,5,5,4,Female,2,3,1,L,Y,Y,Manufacturing Director,8858,5,No,11,2,L,15,Y,2,14,8,7,8,51
6971,55,Finance,3,3,1,Female,3,2,1,L,Y,Y,Accountant,9750,5,No,15,4,L,5,N,2,6,7,1,6,83
6980,46,Finance,8,3,1,Male,3,3,2,L,Y,Y,Accountant,8608,4,No,16,2,H,10,Y,2,7,3,2,6,53
7003,36,Sales,24,4,3,Female,2,2,1,H,N,Y,Sales Executive,5647,7,No,13,1,H,11,Y,2,3,2,0,2,58
7007,31,Research & Development,19,1,3,Female,3,1,1,L,Y,N,Research and Design Specialists,3929,8,Yes,23,3,L,7,N,3,4,2,0,2,38
7097,36,Sales,23,4,3,Female,3,2,4,L,N,Y,Customercare Representative,4502,5,No,15,3,L,17,Y,2,13,7,6,7,64
7180,42,Human Resources,6,3,3,Female,3,4,1,H,N,Y,Manager,16799,9,No,14,3,H,21,Y,3,20,7,0,9,58
7195,40,Sales,16,2,4,Female,3,2,2,L,N,N,Sales Executive,4639,4,No,15,3,L,5,N,3,5,4,1,2,33
7286,49,Research & Development,3,2,3,Female,2,4,1,H,N,Y,Customercare Representative,13964,7,Yes,12,4,L,25,Y,3,7,1,0,7,51
7361,41,Research & Development,21,3,2,Male,4,2,1,L,Y,Y,Customercare Representative,6870,1,No,12,1,H,11,Y,1,3,2,1,2,56
7389,36,Research & Development,21,3,4,Female,3,1,2,L,N,N,Research and Design Specialists,2543,4,No,13,2,L,6,N,3,2,2,2,2,49
7451,54,Research & Development,7,4,4,Female,3,2,1,L,N,N,Research and Design Specialists,4869,3,No,12,4,L,20,N,2,4,3,0,3,39
7474,45,Production,14,5,3,Female,1,2,1,L,N,N,Machinists,5769,1,Yes,14,1,L,10,N,3,10,7,1,4,40
7488,44,Finance,10,4,2,Male,2,3,1,L,Y,Y,Accountant,8249,8,Yes,15,3,H,9,Y,2,4,3,3,6,57
7551,34,Human Resources,9,3,3,Male,2,2,2,H,N,Y,Human Resources,4490,7,No,11,4,L,14,Y,4,10,9,1,8,59
7561,29,Production,13,3,1,Male,2,3,4,L,N,N,Production Supervisors,5929,8,No,15,1,H,6,Y,1,4,7,1,3,30
7689,35,Research & Development,1,4,4,Female,4,1,3,H,Y,Y,Research and Design Specialists,2506,1,No,13,3,H,7,Y,3,2,2,2,2,83
7722,29,Research & Development,23,1,4,Male,3,2,3,H,Y,Y,Manufacturing Director,4319,1,No,13,1,H,10,Y,3,10,7,0,9,76
7725,45,Production,3,2,4,Male,3,2,2,H,N,N,Machinists,3633,5,Yes,15,3,L,9,N,3,9,8,0,8,46
7784,31,Sales,15,4,1,Male,4,2,3,H,N,Y,Sales Executive,5460,4,No,22,4,H,13,Y,4,7,7,5,7,71
7935,22,Research & Development,14,1,3,Male,3,1,2,L,N,N,Research and Design Specialists,2323,1,No,24,1,L,2,N,3,2,2,2,2,45
7952,34,Research & Development,18,4,4,Male,4,1,3,L,Y,Y,Research and Design Specialists,2932,1,Yes,14,1,H,6,Y,3,5,0,1,2,84
7999,24,Sales,19,2,4,Female,3,1,1,L,N,Y,Sales Representative,2033,9,No,13,3,H,1,Y,3,1,0,0,0,56
8019,37,Research & Development,13,2,2,Male,3,1,2,L,N,N,Research and Design Specialists,3022,4,No,21,1,L,8,Y,3,1,0,0,0,47
8023,53,IT_Support,1,4,2,Male,3,3,1,L,Y,Y,IT specialists,5782,7,No,17,3,H,5,Y,3,8,2,2,7,57
8082,27,Sales,21,1,3,Male,3,2,1,H,N,Y,Sales Executive,6349,0,Yes,13,4,L,6,Y,3,5,4,1,4,58
8141,35,Finance,16,4,2,Male,2,3,2,L,Y,Y,Accountant,9662,2,Yes,19,2,L,7,Y,1,9,6,3,5,73
8158,50,Production,17,1,4,Male,4,1,1,L,N,N,Machinists,3221,2,Yes,11,3,L,20,N,3,20,8,3,8,32
8180,30,Production,17,3,2,Female,3,1,1,L,N,N,Machinists,2422,2,No,17,1,L,4,N,3,3,2,1,2,31
8228,29,Finance,21,3,2,Male,3,3,2,H,N,Y,Accountant,9218,8,Yes,18,1,H,8,N,3,4,6,1,4,35
8443,25,Production,14,1,4,Male,3,1,1,L,N,N,Machinists,3691,2,Yes,15,2,L,7,N,4,7,7,5,6,28
8495,33,Sales,9,1,2,Female,3,2,1,L,N,N,Research and Design Specialists,NA,8,No,18,1,L,7,N,1,2,4,3,7,73
8566,21,Sales,10,3,3,Female,4,1,1,L,N,N,Sales Representative,2716,1,No,15,4,L,1,N,3,1,0,0,0,37
8648,35,IT_Support,11,3,1,Female,3,3,3,H,Y,Y,IT specialists,10818,9,Yes,16,2,H,8,Y,1,2,6,2,6,78
8654,34,Production,12,3,4,Female,2,1,4,H,Y,Y,Machinists,3294,8,No,17,1,H,7,Y,2,5,4,0,2,82
8693,40,Finance,14,4,2,Male,3,2,2,L,Y,Y,Accountant,8979,9,Yes,18,2,L,8,Y,3,2,7,1,2,61
8710,40,Research & Development,18,4,3,Female,3,1,2,L,N,N,Research and Design Specialists,2001,6,No,14,2,L,20,N,3,5,3,0,2,46
8724,18,Sales,7,2,2,Female,3,1,2,L,Y,N,Sales Representative,1569,8,Yes,12,3,L,0,Y,4,0,0,0,0,50
8810,32,Production,19,4,1,Male,3,2,4,H,N,Y,Machinists,5309,6,No,15,4,L,10,Y,3,10,8,4,7,63
8824,41,Sales,16,2,2,Female,3,1,1,L,N,N,Sales Representative,3140,1,Yes,22,4,L,4,N,2,4,3,0,2,22
8839,54,Human Resources,23,4,3,Male,3,3,1,H,N,Y,Human Resources,10725,2,No,15,3,L,16,Y,4,9,7,7,1,58
9049,37,Finance,25,3,1,Female,3,3,4,H,Y,Y,Accountant,9172,8,Yes,19,4,H,6,Y,3,6,6,1,6,56
9087,37,Research & Development,1,3,2,Male,3,1,1,L,Y,N,Research and Design Specialists,2326,1,Yes,12,3,L,4,N,2,4,2,1,2,40
9095,31,Research & Development,7,3,2,Male,2,2,1,H,N,Y,Customercare Representative,5582,0,No,21,2,L,10,Y,3,9,0,7,8,51
9188,53,Finance,9,4,2,Female,2,2,4,H,N,Y,Accountant,9097,2,No,17,2,L,5,N,3,8,5,2,2,36
9214,25,Research & Development,9,1,4,Male,4,2,4,L,N,Y,Manufacturing Director,5206,5,No,17,3,L,7,Y,3,7,7,0,7,63
9251,47,Finance,20,4,2,Female,3,3,2,L,Y,Y,Accountant,8455,8,No,15,2,L,8,N,3,6,3,1,6,56
9307,40,Finance,7,3,2,Male,2,2,1,L,Y,Y,Accountant,8835,9,No,20,2,L,7,N,2,8,7,3,7,74
9454,33,Sales,12,3,3,Female,3,2,2,L,N,N,Sales Executive,5368,8,Yes,25,3,L,7,Y,3,6,5,1,2,50
9523,52,Sales,22,4,1,Male,2,5,4,H,Y,Y,Manager,19068,1,Yes,18,4,H,33,Y,4,33,7,15,12,79
9548,25,Production,21,4,1,Male,3,1,1,L,N,N,Production Supervisors,5217,5,No,19,3,H,7,N,2,8,5,1,2,31
9677,46,Research & Development,1,2,4,Female,3,2,2,L,Y,Y,Customercare Representative,8926,7,No,22,4,H,13,N,4,9,7,3,7,30
9706,27,Research & Development,23,4,2,Male,3,1,3,L,Y,Y,Research and Design Specialists,2226,6,No,11,3,L,6,Y,2,5,3,1,2,83
9751,35,Sales,19,3,3,Male,3,2,1,L,Y,N,Sales Executive,5813,3,Yes,18,4,H,10,N,3,10,7,7,7,38
9890,34,Research & Development,2,1,4,Male,2,2,2,H,Y,N,Manufacturing Director,9547,1,No,17,3,H,10,Y,2,10,9,1,9,77
9953,59,Research & Development,16,4,4,Male,3,3,2,L,Y,Y,Manufacturing Director,10512,9,No,12,4,H,25,N,2,9,7,5,4,43
9978,29,Research & Development,15,3,4,Female,2,1,1,L,Y,Y,Research and Design Specialists,2404,8,Yes,20,3,L,3,Y,3,0,0,0,0,58
9994,47,Research & Development,2,4,3,Male,4,2,4,H,Y,Y,Manufacturing Director,5067,4,Yes,19,3,L,20,Y,4,19,10,2,7,63
9996,46,Sales,14,3,3,Female,2,3,4,H,N,Y,Sales Executive,9071,2,Yes,19,3,H,15,Y,3,3,2,1,2,63
10059,23,Sales,19,3,4,Male,3,1,1,L,N,N,Sales Representative,1790,8,No,19,1,H,1,N,2,1,0,1,0,37
10292,42,Research & Development,9,3,1,Male,3,5,2,L,Y,Y,Manager,18880,7,No,11,1,L,24,Y,2,22,6,4,14,62
10330,159,Sales,13,2,2,Male,3,3,2,L,Y,Y,Manager,11904,9,Yes,14,3,L,14,Y,1,6,4,0,4,66
10344,55,Sales,4,4,1,Male,4,4,2,H,N,Y,Sales Executive,13695,4,Yes,17,3,H,24,N,2,19,7,3,8,48
10361,27,IT_Support,6,2,3,Female,2,3,3,L,Y,N,Manufacturing Director,NA,7,No,23,4,H,10,Y,3,10,7,1,7,80
10376,31,Sales,6,4,1,Female,3,3,2,L,Y,N,Sales Executive,9637,4,No,14,4,H,9,Y,3,3,2,2,2,62
10380,34,Research & Development,14,5,2,Female,3,2,2,H,N,Y,Manufacturing Director,5121,1,No,14,3,L,7,Y,3,0,0,0,0,54
10388,36,Sales,8,4,3,Male,2,1,4,H,N,Y,Sales Representative,3407,7,No,23,2,H,10,Y,3,5,3,0,3,63
10399,31,Sales,11,4,2,Female,1,1,2,L,Y,N,Sales Representative,1359,4,No,12,2,L,1,N,3,1,0,0,0,36
10424,44,Research & Development,11,4,1,Female,2,3,1,H,N,Y,Customercare Representative,10248,3,No,14,4,L,24,Y,3,22,6,5,17,58
10473,31,Sales,8,3,1,Male,3,2,2,L,N,Y,Sales Executive,8346,9,No,19,3,L,6,N,3,5,2,0,2,41
10508,33,Production,15,3,3,Male,3,1,2,H,N,N,Machinists,2496,4,No,11,4,H,7,Y,3,1,1,0,0,72
10552,37,Finance,24,4,2,Male,2,2,1,L,Y,N,Accountant,8745,4,No,16,2,L,10,Y,2,8,3,1,4,82
10563,32,Sales,14,4,3,Male,2,2,2,L,N,N,Sales Executive,9907,4,Yes,12,3,H,7,Y,2,2,2,2,2,59
10663,29,Research & Development,16,4,1,Male,2,1,1,H,Y,N,Research and Design Specialists,2362,4,No,13,3,L,11,N,1,9,7,0,7,35
10732,25,Production,3,3,1,Male,3,1,2,L,Y,Y,Machinists,3229,4,No,11,2,H,7,Y,2,3,2,0,2,70
10742,33,Sales,13,4,2,Male,3,2,4,L,Y,Y,Sales Executive,5487,8,No,14,2,L,10,Y,2,10,4,0,9,67
10761,25,Sales,21,3,2,Female,4,5,3,L,Y,Y,IT specialists,6213,8,No,20,2,L,7,Y,3,2,6,3,7,85
10812,28,Research & Development,20,3,3,Female,3,1,2,L,N,Y,Research and Design Specialists,3591,2,No,25,3,H,3,Y,3,3,2,1,2,60
10860,33,Research & Development,21,2,1,Female,3,3,2,H,N,Y,Research Director,13458,1,Yes,12,3,H,15,Y,3,15,14,8,12,70
10986,29,Sales,11,3,2,Female,3,3,2,L,N,Y,Sales Executive,7639,1,No,22,4,L,10,Y,2,10,4,1,9,50
10992,33,Sales,7,4,1,Male,3,2,1,L,N,Y,Sales Executive,6392,5,No,13,4,H,8,N,1,2,2,2,2,47
11001,26,Human Resources,15,4,2,Female,3,1,1,L,N,N,Human Resources,2741,0,Yes,11,2,L,8,N,2,7,7,1,0,37
11061,27,Research & Development,7,4,4,Male,2,4,3,L,N,N,Sales Executive,NA,6,No,19,3,H,10,N,1,9,5,3,2,63
